,Plattdeutsch,Hochdeutsch,,,
dat,Aai, de Aaier,Ei,,
de,Aaierpliumen,Eierpflaume,,,
de,Aaierschoalen,Eierschale,,,
,aaiher,eher,,,
,aais,erst,,,
,aaiste,erste,,,
,aalbern,albern,,,
de,Aarn,Ernte, Erntezeit,,
,aas,erst,,,
,achen,beachten, achten,,
,achielen,essen (übermäßig),,,
,achte,hinten,,,
,achter,hinter,,,
,achteran,hinterher,,,
,achterheer,hinterher,,,
,achternanner,hintereinander,,,
,achterümme,hintenherum,,,
,af,ab,,,
,af un an,ab und zu, manchmal, hin und wieder,
,af un teo,ab und zu, manchmal,,
,afännern,abändern,,,
,afbaalgen,verausgaben,,,
de,Afbidde,Verzeihung, Entschuldigung,,
de,Afbidde deon,Verzeihung (um Verzeihung bitten),,,
,afbieten,abbeißen,,,
,afbloaen,abblättern,,,
,afbloasen (afsäggen),absagen,,,
,afböagen,abbiegen,,,
,afbrennen,abbrennen,,,
,afdanken,abdanken,,,
,afdeckeln,rügen,,,
,afdecken,abdecken,,,
,afdeon,abwinken (für belanglos erklären),,,
,afdisken,abräumen (Tisch),,,
,afdöppen,ablösen (Blüte und Stiel vom Obst und Gemüse entfernen),,,
,afdössken,abdreschen (das letzte Getreide dreschen),,,
,afdröagen,abtrocknen,,,
de,Afecke,Winkel (hinterste Ecke),,,
,affienen,abfinden,,,
,affillen,abpellen,,,
,affitken,abstauben (mit dem Gänseflügel),,,
,affreten,abfressen,,,
,afgeiten,abgießen,,,
,afgierm,abgeben,,,
,afglippen,abrutschen,,,
,afgnabbeln,abnagen,,,
,afgresen,abgrasen,,,
de,Afgrund,Abgrund,,,
de,Afgunst,Neid,,,
,afgünstig,neidisch,,,
,afhanden,abhanden,,,
,afhängig (afhängich),abhängig,,,
,afhaulen,abhalten,,,
,afhaulen,abhalten (ein Kind zum Wasserlassen abhalten),,,
,afheoen,abhauen (weglaufen),,,
,afhoaken,abhaken,,,
,afhoarken,abharken,,,
,afhöarn,abhören,,,
,afhocken,abhocken (Getreidefläche wird für die Zwischenfrucht freigetragen),,,
,afjachtern,abhetzen,,,
,afkanzeln,erniedrigen,,,
,afkeoen,abkauen,,,
,afkieken,abgucken,,,
,afkiemen,abkeimen,,,
,afkloppen,abklopfen,,,
,afkniusen,abzweigen,,,
,afköarten,abkürzen,,,
,afkriegen,abpflücken, abbekommen,,
,afküen,ausreden, absprechen,,
,afkurm van,loskommen von,,,
,afläen,abgewöhnen,,,
,aflaupen,ablaufen,,,
de,Aflegger,Ableger (Pflanze oder Mensch),,,
,aflicken,ablecken,,,
,aflierbern,abliefern,,,
,aflihrnen,ablehnen,,,
,afloaen,abladen,,,
,aflünsen,abgaunern,,,
,afmaaihen,abmähen,,,
,afmelken,abmelken (auslaufen der Milchproduktion bei einer Kuh),,,
,afmessen,abmisten,,,
,afmeten,abmessen,,,
,afmoaken,abmachen (vereinbaren),,,
,afmoihen,abmühen,,,
,afmurksen,umbringen,,,
,afnierm,abnehmen,,,
,afplücken,abpflücken,,,
,afreken,abrechnen,,,
,afrieten,abreißen,,,
,afroaen van,abraten von,,,
,afrümen,abräumen,,,
,afsaaien,abschöpfen (Rahm, Fett),,
,afsäggen,absagen, abkündigen (in der Kirche),,
,afsärpen,abseifen,,,
de,Afsatz,Absatz,,,
,afscheiten,abschießen,,,
,afschiehen,abtrennen,,,
,afschillen,abschälen,,,
,afschliuten,abschließen,,,
,afschloan,abschlagen, verweigern,,
,afschmicken,abschmecken,,,
,afschmieten,abwerfen, einbringen,,
,afschneoen,Schnur ziehen,,,
,afschniehen,abschneiden,,,
,afschobben,abscheuern,,,
,afschrappen,abschaben,,,
,afseihn,absehen von, verzichten,,
,afsetten,absetzen, entwöhnen,,
,afsiupen,ertrinken,,,
,afsiusen,abwarten, absausen, etwas überstehen,
,afsoagen,absägen,,,
,afsperrn,absperren,,,
,afsteerben,absterben,,,
,afsteken,abstechen (Heu, Stroh abladen),,
,afstoahn,abgestanden, verzichten auf,,
,afstörten,abstoßen, abstürzen,,
,afsträngen,Zugstränge lösen (bei Zugtieren),,,
,afstriehen,abstreiten, leugnen,,
,afstrirpen,abstreifen,,,
,afstruppen,abstreifen (Tabak entrippen),,,
,afstüsseln,abstützen (behelfsmäßig),,,
,afteiken,abzeichnen,,,
dat,Afteiken,Abzeichen,,,
,aftellen,abzählen,,,
,aftoiben,abwarten,,,
,aftrehen,abschreiten,,,
,afwasken,abwaschen,,,
,afwisken,abwischen,,,
de,Aggedoage,Woche (ganze Woche),,,
,ahne,drin, an,,
,akkedaaien,verhandeln, immer wieder über etwas reden,,
,akkroat,akkurat,,,
de,Allhöarn,Holunder,,,
de,Allhöarnbiehen,Holunderbeeren,,,
de,Allühen,Eigenarten (negativ),,,
de,Altoar,Altar,,,
,Amerikoa,Amerika,,,
de,Amerikoaner,Amerikaner,,,
dat,Amt,Behörde, Rathaus,,
uppen,Amte,im Rathaus,,,
,an,an,,,
,an dem sien,wahr sein,,,
,anbaaien,anbieten,,,
de,Anbeo,Anbau,,,
,anbeoen,anbauen,,,
,anbienen,anbinden,,,
,anbieten,anbeißen,,,
,anblierken,anbellen,,,
,anbloasen,anblasen (Signal zum Beginn der Treibjagd),,,
,anböagen,anbiegen,,,
,anboiten,anheizen,,,
,anbrennen,anbrennen,,,
dat,Anbrennzel,Angebranntes,,,
,anbucken,anlehnen, ankuscheln,,
,anbühen,anheben,,,
,andeinen,anbieten,,,
,andeon,anreichen (Heu oder Getreide),,,
,andeon (sick wat andeon),verletzen, Selbstmord,,
,andössken,andreschen (das erste Getreide dreschen),,,
,andraaihen,andrehen, aufschwatzen,,
,andrieben,antreiben,,,
,andröagen,antrocknen,,,
,anecken,anecken (undiplomatisches Verhalten),,,
de,Anfang,Anfang,,,
,anfangen,anfangen, beginnen,,
,anfoihen,anführen, anfahren, zitieren,
,anfoihlen,anfühlen,,,
,anfutken,anziehen (geschmacklos),,,
dat,Angebott,Angebot,,,
de,Angehöarige,Angehörige,,,
,angeiten,angießen,,,
de,Angest,Angst,,,
de,Angesthoase,Angsthase,,,
,ängestig (ängestich),ängstlich,,,
,angierm,angeben,,,
,angnabbeln,annagen,,,
,angoahn,angehen, anfangen,,
,anhänglik,anhänglich, treu,,
,anhaulen,anhalten, ermahnen,,
,anheoen,annageln, erinnern, bitten,
de,Anhöachte,Anhöhe,,,
,anhöarn,anhören,,,
,anhutken,ankleiden (unpassend),,,
,ankeoen,anknabbern,,,
,ankieken,ansehen,,,
,ankloppen,anklopfen,,,
,ankriegen,anziehen, etwas in Gang setzen,,
,anküen,ansprechen, aufschwatzen,,
,ankurm,ankommen,,,
,ankurm Wierken,Woche (kommende Woche),,,
,anläen,anlernen,,,
,anlaupen,anlaufen,,,
de,Anlegger,Anleger,,,
,anleigen,anlügen,,,
,anlichen,anheben (wenig),,,
,anlicken,anlecken,,,
,anlierbern,anliefern,,,
,anliggen,erinnern (sich erinnern),,,
,anlihrnen,anlehnen,,,
de,Anloage,Anlage,,,
,anmaaihen,anmähen,,,
,anmelken,vormelken (junge Kuh ans Melken gewöhnen),,,
,anmeten,Maßnehmen für die Maßanfertigung,,,
,anmoaken,anmachen,,,
,annanner,aneinander,,,
,anne,an der,,,
,annegeln,annageln,,,
,annen,an den, an dem,,
,annen Enne,am Ende (schließlich, vielleicht),,
,annere,andere,,,
,ännern,ändern,,,
,anners,anders,,,
,annersrümme,umgekehrt,,,
,annertiet,sonst, früher,,
,annerwärts, annerwegens,woanders,,
,annierm,annehmen,,,
,annoomen Kiend,Adoptivkind,,,
,annücken,anknoten,,,
,anpacken,anfassen,,,
,anpierken,ankleben,,,
,anplanten,anpflanzen,,,
,anpöahlen,anpflocken,,,
,anpriesen,anpreisen,,,
,anranzen,anschnauzen,,,
,anrecken,anreichen,,,
,anreken,anrechnen,,,
,anrennen,anstoßen, rempeln,,
,anreopen,anrufen,,,
,anrieten,anreißen, markieren,,
,anroaen,empfehlen,,,
,anröahrgen,berühren, anrühren,,
,anroihen,anrühren,,,
,ansäggen,ansagen,,,
,anscheiten,anschießen,,,
,anschiehen,Geschirr anlegen,,,
de,Anschien,Anschein,,,
,anschieten,anscheißen, anschwärzen, verpetzen, übervorteilen
,anschloan,anschlagen, anwachsen, Heilwirkung zeigen, bekannt machen
,anschmieten,anwerfen (Motor, Putz),,
,anschniehen,anschneiden,,,
,anschroien,ansengen,,,
,anschwullen,angeschwollen,,,
dat,Anseihn,Ansehen, Achtung,,
,ansetten,ansetzen,,,
,ansiusen,ankommen (schnell),,,
,anspaaien,anspucken,,,
,ansteken,anstechen,,,
,anstellen,anstellen, sich zieren,,
,ansticken,anstecken, anzünden,,
,anstiehe,anstatt,,,
,anstoahn,anstehen,,,
,anstörten,anstoßen,,,
,ansträngen,Zugstränge befestigen (bei Zugtieren),,,
,anstrengen,anstrengen,,,
,anstrieken,anstreichen,,,
,ant (an dat),an das, ans,,
,anteihn,anziehen,,,
